Madymo Validation 03.26.2021,,,,,,,,
Explico Engineering Co. DRD,,,,,,,,
--,,,,,,,,
,,,,,,,,
Time (s), /2/1006 ( /Scaled_Hybrid_III_50th/HeadCG_acc ) CFC1000 - Res. acceleration (m/s**2), /2/1006 ( /Scaled_Hybrid_III_50th/HeadCG_acc ) CFC1000 - X-comp. acceleration (m/s**2), /2/1006 ( /Scaled_Hybrid_III_50th/HeadCG_acc ) CFC1000 - Y-comp. acceleration (m/s**2), /2/1006 ( /Scaled_Hybrid_III_50th/HeadCG_acc ) CFC1000 - Z-comp. acceleration (m/s**2), /2/6004 ( /Scaled_Hybrid_III_50th/Pelvis_acc ) CFC1000 - Res. acceleration (m/s**2), /2/6004 ( /Scaled_Hybrid_III_50th/Pelvis_acc ) CFC1000 - X-comp. acceleration (m/s**2), /2/6004 ( /Scaled_Hybrid_III_50th/Pelvis_acc ) CFC1000 - Y-comp. acceleration (m/s**2), /2/6004 ( /Scaled_Hybrid_III_50th/Pelvis_acc ) CFC1000 - Z-comp. acceleration (m/s**2)
-9.34E-02,6.98E-01,-6.20E-01,-1.21E-01,2.96E-01,2.01E-01,-1.28E-01,8.91E-02,1.26E-01
-9.33E-02,3.05E-01,-2.18E-01,1.89E-01,-1.01E-01,1.96E-01,-1.24E-01,8.55E-02,1.26E-01
-9.32E-02,2.89E-01,8.04E-02,1.19E-01,-2.50E-01,1.92E-01,-1.20E-01,8.20E-02,1.25E-01
-9.31E-02,2.94E-01,1.91E-01,-9.98E-02,-2.01E-01,1.87E-01,-1.15E-01,7.85E-02,1.25E-01
-9.30E-02,1.80E-01,9.21E-02,9.26E-03,-1.55E-01,1.83E-01,-1.11E-01,7.50E-02,1.24E-01
-9.29E-02,3.85E-01,-1.28E-01,3.30E-01,-1.53E-01,1.78E-01,-1.07E-01,7.17E-02,1.24E-01
-9.28E-02,4.81E-01,-2.30E-01,3.98E-01,-1.42E-01,1.74E-01,-1.03E-01,6.85E-02,1.23E-01
-9.27E-02,3.64E-01,-2.33E-01,2.48E-01,-1.29E-01,1.71E-01,-9.83E-02,6.53E-02,1.23E-01
-9.26E-02,3.92E-01,-3.15E-01,1.88E-01,-1.37E-01,1.67E-01,-9.40E-02,6.24E-02,1.23E-01
-9.25E-02,3.62E-01,-2.64E-01,1.67E-01,-1.81E-01,1.63E-01,-8.96E-02,5.95E-02,1.23E-01
-9.24E-02,2.04E-01,-2.57E-02,2.05E-02,-2.01E-01,1.60E-01,-8.53E-02,5.67E-02,1.23E-01
-9.23E-02,1.95E-01,7.17E-02,-1.09E-01,-1.45E-01,1.57E-01,-8.10E-02,5.41E-02,1.23E-01
-9.22E-02,1.47E-01,9.81E-02,-4.24E-02,-1.01E-01,1.54E-01,-7.67E-02,5.16E-02,1.23E-01
-9.21E-02,2.85E-01,2.55E-01,5.11E-02,-1.17E-01,1.51E-01,-7.25E-02,4.93E-02,1.23E-01
-9.20E-02,2.96E-01,2.67E-01,-3.21E-02,-1.25E-01,1.49E-01,-6.83E-02,4.70E-02,1.23E-01
