Madymo Validation 03.26.2021
Explico Engineering Co. DRD
--

Time (s), /2/2049 ( /Scaled_Hybrid_III_50th/NeckUp_Fz_lce ) - LOAD_CELL Force (N)   FILTER=CFC1000 - -, /2/2052 ( /Scaled_Hybrid_III_50th/NeckUp_My_lce ) - LOAD_CELL Torque (Nm) FILTER=CFC600 - -, /2/2041 ( /Scaled_Hybrid_III_50th/NeckLow_Fz_lce ) - LOAD_CELL Force (N)   FILTER=CFC1000 - -, /2/2044 ( /Scaled_Hybrid_III_50th/NeckLow_My_lce ) - LOAD_CELL Torque (Nm) FILTER=CFC600 - -, /2/5026 ( /Scaled_Hybrid_III_50th/LumbarSpineLow_Fz_lce ) - LOAD_CELL Force (N)   FILTER=CFC1000 - -, /2/5029 ( /Scaled_Hybrid_III_50th/LumbarSpineLow_My_lce ) - LOAD_CELL Torque (Nm) FILTER=CFC1000 - -
-9.340000E-02, -4.294409E+01, 1.007176E+00, -5.357906E+01, 6.070315E+00, -2.720763E+02, 1.822086E+01
-9.330000E-02, -4.294709E+01, 1.006630E+00, -5.358412E+01, 6.063615E+00, -2.721330E+02, 1.818572E+01
-9.320000E-02, -4.294979E+01, 1.006078E+00, -5.358880E+01, 6.056905E+00, -2.721883E+02, 1.815069E+01
-9.310000E-02, -4.295220E+01, 1.005518E+00, -5.359311E+01, 6.050184E+00, -2.722419E+02, 1.811575E+01
-9.300000E-02, -4.295431E+01, 1.004951E+00, -5.359706E+01, 6.043453E+00, -2.722938E+02, 1.808091E+01
-9.290000E-02, -4.295613E+01, 1.004376E+00, -5.360064E+01, 6.036713E+00, -2.723437E+02, 1.804616E+01
-9.280000E-02, -4.295766E+01, 1.003794E+00, -5.360386E+01, 6.029963E+00, -2.723915E+02, 1.801150E+01
-9.270000E-02, -4.295891E+01, 1.003205E+00, -5.360673E+01, 6.023204E+00, -2.724373E+02, 1.797693E+01
-9.260000E-02, -4.295988E+01, 1.002608E+00, -5.360924E+01, 6.016436E+00, -2.724814E+02, 1.794246E+01
-9.250000E-02, -4.296056E+01, 1.002003E+00, -5.361140E+01, 6.009660E+00, -2.725240E+02, 1.790809E+01
-9.240000E-02, -4.296096E+01, 1.001391E+00, -5.361321E+01, 6.002876E+00, -2.725649E+02, 1.787381E+01
-9.230000E-02, -4.296109E+01, 1.000770E+00, -5.361468E+01, 5.996084E+00, -2.726042E+02, 1.783963E+01
-9.220000E-02, -4.296093E+01, 1.000142E+00, -5.361579E+01, 5.989285E+00, -2.726419E+02, 1.780555E+01
-9.210000E-02, -4.296051E+01, 9.995064E-01, -5.361657E+01, 5.982478E+00, -2.726780E+02, 1.777156E+01
-9.200000E-02, -4.295980E+01, 9.988625E-01, -5.361700E+01, 5.975665E+00, -2.727125E+02, 1.773768E+01
-9.190000E-02, -4.295883E+01, 9.982106E-01, -5.361709E+01, 5.968844E+00, -2.727453E+02, 1.770390E+01
-9.180000E-02, -4.295758E+01, 9.975507E-01, -5.361685E+01, 5.962017E+00, -2.727766E+02, 1.767021E+01
-9.170000E-02, -4.295607E+01, 9.968826E-01, -5.361627E+01, 5.955183E+00, -2.728062E+02, 1.763663E+01
-9.160000E-02, -4.295429E+01, 9.962064E-01, -5.361535E+01, 5.948343E+00, -2.728342E+02, 1.760315E+01
-9.150000E-02, -4.295224E+01, 9.955219E-01, -5.361411E+01, 5.941497E+00, -2.728607E+02, 1.756978E+01
-9.140000E-02, -4.294993E+01, 9.948293E-01, -5.361253E+01, 5.934646E+00, -2.728855E+02, 1.753651E+01
-9.130000E-02, -4.294736E+01, 9.941284E-01, -5.361063E+01, 5.927789E+00, -2.729088E+02, 1.750334E+01
-9.120000E-02, -4.294453E+01, 9.934192E-01, -5.360841E+01, 5.920926E+00, -2.729306E+02, 1.747027E+01
-9.110000E-02, -4.294144E+01, 9.927016E-01, -5.360587E+01, 5.914059E+00, -2.729509E+02, 1.743731E+01
-9.100000E-02, -4.293809E+01, 9.919757E-01, -5.360300E+01, 5.907186E+00, -2.729696E+02, 1.740446E+01
-9.090000E-02, -4.293450E+01, 9.912414E-01, -5.359983E+01, 5.900309E+00, -2.729868E+02, 1.737171E+01
-9.080000E-02, -4.293065E+01, 9.904987E-01, -5.359634E+01, 5.893428E+00, -2.730025E+02, 1.733907E+01
-9.070000E-02, -4.292655E+01, 9.897476E-01, -5.359254E+01, 5.886543E+00, -2.730167E+02, 1.730653E+01
-9.060000E-02, -4.292221E+01, 9.889881E-01, -5.358844E+01, 5.879653E+00, -2.730295E+02, 1.727410E+01
-9.050000E-02, -4.291763E+01, 9.882202E-01, -5.358403E+01, 5.872760E+00, -2.730407E+02, 1.724178E+01
-9.040000E-02, -4.291280E+01, 9.874438E-01, -5.357932E+01, 5.865864E+00, -2.730505E+02, 1.720956E+01
-9.030000E-02, -4.290774E+01, 9.866589E-01, -5.357432E+01, 5.858965E+00, -2.730589E+02, 1.717746E+01
-9.020000E-02, -4.290244E+01, 9.858656E-01, -5.356902E+01, 5.852062E+00, -2.730658E+02, 1.714546E+01
-9.010000E-02, -4.289690E+01, 9.850639E-01, -5.356344E+01, 5.845157E+00, -2.730713E+02, 1.711356E+01
-9.000000E-02, -4.289114E+01, 9.842537E-01, -5.355756E+01, 5.838249E+00, -2.730755E+02, 1.708178E+01
-8.990000E-02, -4.288515E+01, 9.834351E-01, -5.355141E+01, 5.831339E+00, -2.730782E+02, 1.705010E+01
-8.980000E-02, -4.287893E+01, 9.826080E-01, -5.354497E+01, 5.824427E+00, -2.730795E+02, 1.701853E+01
-8.970000E-02, -4.287250E+01, 9.817726E-01, -5.353826E+01, 5.817513E+00, -2.730796E+02, 1.698707E+01
-8.960000E-02, -4.286584E+01, 9.809287E-01, -5.353128E+01, 5.810598E+00, -2.730782E+02, 1.695572E+01
-8.950000E-02, -4.285897E+01, 9.800765E-01, -5.352403E+01, 5.803682E+00, -2.730756E+02, 1.692447E+01
-8.940000E-02, -4.285189E+01, 9.792160E-01, -5.351651E+01, 5.796764E+00, -2.730716E+02, 1.689334E+01
-8.930000E-02, -4.284460E+01, 9.783471E-01, -5.350874E+01, 5.789846E+00, -2.730664E+02, 1.686230E+01
-8.920000E-02, -4.283710E+01, 9.774699E-01, -5.350071E+01, 5.782927E+00, -2.730599E+02, 1.683138E+01
-8.910000E-02, -4.282940E+01, 9.765844E-01, -5.349243E+01, 5.776007E+00, -2.730521E+02, 1.680056E+01
-8.900000E-02, -4.282150E+01, 9.756907E-01, -5.348390E+01, 5.769088E+00, -2.730430E+02, 1.676985E+01
-8.890000E-02, -4.281341E+01, 9.747889E-01, -5.347514E+01, 5.762169E+00, -2.730328E+02, 1.673924E+01
-8.880000E-02, -4.280512E+01, 9.738788E-01, -5.346613E+01, 5.755251E+00, -2.730213E+02, 1.670874E+01
-8.870000E-02, -4.279665E+01, 9.729607E-01, -5.345689E+01, 5.748333E+00, -2.730087E+02, 1.667834E+01
-8.860000E-02, -4.278799E+01, 9.720345E-01, -5.344742E+01, 5.741416E+00, -2.729948E+02, 1.664805E+01
-8.850000E-02, -4.277916E+01, 9.711003E-01, -5.343773E+01, 5.734500E+00, -2.729798E+02, 1.661786E+01
-8.840000E-02, -4.277014E+01, 9.701581E-01, -5.342782E+01, 5.727585E+00, -2.729637E+02, 1.658777E+01
-8.830000E-02, -4.276095E+01, 9.692080E-01, -5.341769E+01, 5.720672E+00, -2.729464E+02, 1.655779E+01
-8.820000E-02, -4.275159E+01, 9.682500E-01, -5.340735E+01, 5.713761E+00, -2.729281E+02, 1.652792E+01
-8.810000E-02, -4.274206E+01, 9.672843E-01, -5.339680E+01, 5.706852E+00, -2.729086E+02, 1.649814E+01
-8.800000E-02, -4.273237E+01, 9.663108E-01, -5.338605E+01, 5.699946E+00, -2.728882E+02, 1.646847E+01
-8.790000E-02, -4.272252E+01, 9.653297E-01, -5.337511E+01, 5.693042E+00, -2.728669E+02, 1.643889E+01
-8.780000E-02, -4.271252E+01, 9.643409E-01, -5.336397E+01, 5.686141E+00, -2.728438E+02, 1.640944E+01
-8.770000E-02, -4.270235E+01, 9.633447E-01, -5.335264E+01, 5.679240E+00, -2.728169E+02, 1.638017E+01
-8.760000E-02, -4.269199E+01, 9.623409E-01, -5.334106E+01, 5.672338E+00, -2.727856E+02, 1.635110E+01
-8.750000E-02, -4.268138E+01, 9.613298E-01, -5.332916E+01, 5.665431E+00, -2.727516E+02, 1.632221E+01
-8.740000E-02, -4.267049E+01, 9.603114E-01, -5.331692E+01, 5.658520E+00, -2.727165E+02, 1.629346E+01
-8.730000E-02, -4.265934E+01, 9.592857E-01, -5.330434E+01, 5.651601E+00, -2.726807E+02, 1.626484E+01
-8.720000E-02, -4.264791E+01, 9.582529E-01, -5.329142E+01, 5.644676E+00, -2.726438E+02, 1.623636E+01
-8.710000E-02, -4.263621E+01, 9.572131E-01, -5.327816E+01, 5.637743E+00, -2.726058E+02, 1.620801E+01
-8.700000E-02, -4.262424E+01, 9.561663E-01, -5.326455E+01, 5.630803E+00, -2.725667E+02, 1.617981E+01
-8.690000E-02, -4.261200E+01, 9.551126E-01, -5.325060E+01, 5.623856E+00, -2.725266E+02, 1.615174E+01
-8.680000E-02, -4.259948E+01, 9.540521E-01, -5.323631E+01, 5.616901E+00, -2.724852E+02, 1.612381E+01
-8.670000E-02, -4.258668E+01, 9.529850E-01, -5.322166E+01, 5.609939E+00, -2.724428E+02, 1.609601E+01
-8.660000E-02, -4.257361E+01, 9.519112E-01, -5.320666E+01, 5.602970E+00, -2.723992E+02, 1.606835E+01
-8.650000E-02, -4.256025E+01, 9.508308E-01, -5.319131E+01, 5.595993E+00, -2.723545E+02, 1.604083E+01
-8.640000E-02, -4.254662E+01, 9.497440E-01, -5.317561E+01, 5.589007E+00, -2.723087E+02, 1.601345E+01
-8.630000E-02, -4.253270E+01, 9.486508E-01, -5.315955E+01, 5.582014E+00, -2.722617E+02, 1.598620E+01
-8.620000E-02, -4.251849E+01, 9.475512E-01, -5.314312E+01, 5.575013E+00, -2.722135E+02, 1.595910E+01
-8.610000E-02, -4.250400E+01, 9.464454E-01, -5.312634E+01, 5.568003E+00, -2.721642E+02, 1.593213E+01
-8.600000E-02, -4.248922E+01, 9.453334E-01, -5.310919E+01, 5.560985E+00, -2.721138E+02, 1.590529E+01
-8.590000E-02, -4.247416E+01, 9.442153E-01, -5.309169E+01, 5.553958E+00, -2.720622E+02, 1.587860E+01
-8.580000E-02, -4.245880E+01, 9.430912E-01, -5.307381E+01, 5.546922E+00, -2.720094E+02, 1.585204E+01
-8.570000E-02, -4.244316E+01, 9.419611E-01, -5.305557E+01, 5.539878E+00, -2.719555E+02, 1.582562E+01
-8.560000E-02, -4.242722E+01, 9.408251E-01, -5.303697E+01, 5.532824E+00, -2.719004E+02, 1.579934E+01
-8.550000E-02, -4.241100E+01, 9.396833E-01, -5.301800E+01, 5.525762E+00, -2.718442E+02, 1.577319E+01
-8.540000E-02, -4.239449E+01, 9.385357E-01, -5.299866E+01, 5.518691E+00, -2.717868E+02, 1.574718E+01
-8.530000E-02, -4.237769E+01, 9.373824E-01, -5.297897E+01, 5.511611E+00, -2.717283E+02, 1.572130E+01
-8.520000E-02, -4.236061E+01, 9.362235E-01, -5.295891E+01, 5.504522E+00, -2.716687E+02, 1.569555E+01
-8.510000E-02, -4.234324E+01, 9.350591E-01, -5.293849E+01, 5.497424E+00, -2.716080E+02, 1.566993E+01
-8.500000E-02, -4.232560E+01, 9.338891E-01, -5.291772E+01, 5.490318E+00, -2.715461E+02, 1.564445E+01
-8.490000E-02, -4.230767E+01, 9.327137E-01, -5.289659E+01, 5.483204E+00, -2.714832E+02, 1.561910E+01
-8.480000E-02, -4.228946E+01, 9.315330E-01, -5.287512E+01, 5.476081E+00, -2.714191E+02, 1.559387E+01
-8.470000E-02, -4.227099E+01, 9.303470E-01, -5.285330E+01, 5.468949E+00, -2.713539E+02, 1.556877E+01
-8.460000E-02, -4.225224E+01, 9.291557E-01, -5.283114E+01, 5.461810E+00, -2.712874E+02, 1.554381E+01
-8.450000E-02, -4.223322E+01, 9.279593E-01, -5.280863E+01, 5.454663E+00, -2.712197E+02, 1.551897E+01
-8.440000E-02, -4.221393E+01, 9.267578E-01, -5.278579E+01, 5.447508E+00, -2.711510E+02, 1.549426E+01
-8.430000E-02, -4.219438E+01, 9.255513E-01, -5.276262E+01, 5.440346E+00, -2.710811E+02, 1.546967E+01
-8.420000E-02, -4.217458E+01, 9.243397E-01, -5.273911E+01, 5.433176E+00, -2.710103E+02, 1.544520E+01
-8.410000E-02, -4.215451E+01, 9.231233E-01, -5.271528E+01, 5.425999E+00, -2.709383E+02, 1.542086E+01
-8.400000E-02, -4.213419E+01, 9.219020E-01, -5.269114E+01, 5.418815E+00, -2.708653E+02, 1.539664E+01
-8.390000E-02, -4.211363E+01, 9.206759E-01, -5.266668E+01, 5.411625E+00, -2.707912E+02, 1.537254E+01
-8.380000E-02, -4.209283E+01, 9.194450E-01, -5.264192E+01, 5.404428E+00, -2.707161E+02, 1.534855E+01
-8.370000E-02, -4.207178E+01, 9.182095E-01, -5.261686E+01, 5.397225E+00, -2.706400E+02, 1.532469E+01
-8.360000E-02, -4.205051E+01, 9.169694E-01, -5.259150E+01, 5.390017E+00, -2.705628E+02, 1.530094E+01
-8.350000E-02, -4.202900E+01, 9.157248E-01, -5.256585E+01, 5.382803E+00, -2.704846E+02, 1.527730E+01
-8.340000E-02, -4.200727E+01, 9.144756E-01, -5.253992E+01, 5.375585E+00, -2.704054E+02, 1.525378E+01
-8.330000E-02, -4.198532E+01, 9.132220E-01, -5.251371E+01, 5.368362E+00, -2.703253E+02, 1.523037E+01
-8.320000E-02, -4.196316E+01, 9.119640E-01, -5.248724E+01, 5.361135E+00, -2.702441E+02, 1.520707E+01
-8.310000E-02, -4.194080E+01, 9.107017E-01, -5.246050E+01, 5.353906E+00, -2.701620E+02, 1.518388E+01
-8.300000E-02, -4.191823E+01, 9.094351E-01, -5.243352E+01, 5.346675E+00, -2.700790E+02, 1.516080E+01
-8.290000E-02, -4.189547E+01, 9.081643E-01, -5.240628E+01, 5.339439E+00, -2.699951E+02, 1.513783E+01
-8.280000E-02, -4.187250E+01, 9.068893E-01, -5.237879E+01, 5.332195E+00, -2.699102E+02, 1.511496E+01
-8.270000E-02, -4.184935E+01, 9.056103E-01, -5.235106E+01, 5.324936E+00, -2.698244E+02, 1.509219E+01
-8.260000E-02, -4.182607E+01, 9.043274E-01, -5.232317E+01, 5.317653E+00, -2.697378E+02, 1.506953E+01
-8.250000E-02, -4.180271E+01, 9.030410E-01, -5.229519E+01, 5.310352E+00, -2.696503E+02, 1.504697E+01
-8.240000E-02, -4.177895E+01, 9.017513E-01, -5.226669E+01, 5.303062E+00, -2.695621E+02, 1.502451E+01
-8.230000E-02, -4.175430E+01, 9.004579E-01, -5.223706E+01, 5.295860E+00, -2.694731E+02, 1.500214E+01
-8.220000E-02, -4.173042E+01, 8.991598E-01, -5.220841E+01, 5.288871E+00, -2.693832E+02, 1.497987E+01
-8.210000E-02, -4.171183E+01, 8.978545E-01, -5.218661E+01, 5.282222E+00, -2.692917E+02, 1.495772E+01
-8.200000E-02, -4.170068E+01, 8.965384E-01, -5.217441E+01, 5.275953E+00, -2.691984E+02, 1.493571E+01
-8.190000E-02, -4.169309E+01, 8.952082E-01, -5.216680E+01, 5.269972E+00, -2.691040E+02, 1.491387E+01
-8.180000E-02, -4.168442E+01, 8.938621E-01, -5.215780E+01, 5.264126E+00, -2.690093E+02, 1.489219E+01
-8.170000E-02, -4.167376E+01, 8.924999E-01, -5.214624E+01, 5.258290E+00, -2.689141E+02, 1.487064E+01
-8.160000E-02, -4.166199E+01, 8.911225E-01, -5.213324E+01, 5.252398E+00, -2.688175E+02, 1.484919E+01
-8.150000E-02, -4.164948E+01, 8.897312E-01, -5.211930E+01, 5.246433E+00, -2.687213E+02, 1.482791E+01
-8.140000E-02, -4.163624E+01, 8.883271E-01, -5.210441E+01, 5.240403E+00, -2.686310E+02, 1.480709E+01
-8.130000E-02, -4.162229E+01, 8.869111E-01, -5.208862E+01, 5.234325E+00, -2.685499E+02, 1.478687E+01
-8.120000E-02, -4.160774E+01, 8.854840E-01, -5.207205E+01, 5.228211E+00, -2.684740E+02, 1.476706E+01
-8.110000E-02, -4.159265E+01, 8.840467E-01, -5.205480E+01, 5.222071E+00, -2.683979E+02, 1.474738E+01
-8.100000E-02, -4.157709E+01, 8.825999E-01, -5.203693E+01, 5.215910E+00, -2.683202E+02, 1.472775E+01
-8.090000E-02, -4.156109E+01, 8.811442E-01, -5.201850E+01, 5.209732E+00, -2.682418E+02, 1.470821E+01
-8.080000E-02, -4.154469E+01, 8.796805E-01, -5.199956E+01, 5.203540E+00, -2.681630E+02, 1.468878E+01
-8.070000E-02, -4.152793E+01, 8.782093E-01, -5.198016E+01, 5.197335E+00, -2.680837E+02, 1.466945E+01
-8.060000E-02, -4.151084E+01, 8.767315E-01, -5.196034E+01, 5.191118E+00, -2.680037E+02, 1.465022E+01
-8.050000E-02, -4.149346E+01, 8.752474E-01, -5.194013E+01, 5.184893E+00, -2.679232E+02, 1.463107E+01
-8.040000E-02, -4.147579E+01, 8.737577E-01, -5.191956E+01, 5.178661E+00, -2.678421E+02, 1.461201E+01
-8.030000E-02, -4.145787E+01, 8.722629E-01, -5.189867E+01, 5.172423E+00, -2.677605E+02, 1.459304E+01
-8.020000E-02, -4.143971E+01, 8.707634E-01, -5.187747E+01, 5.166181E+00, -2.676784E+02, 1.457415E+01
-8.010000E-02, -4.142133E+01, 8.692596E-01, -5.185599E+01, 5.159935E+00, -2.675957E+02, 1.455535E+01
-8.000000E-02, -4.140275E+01, 8.677520E-01, -5.183425E+01, 5.153688E+00, -2.675125E+02, 1.453662E+01
-7.990000E-02, -4.138398E+01, 8.662408E-01, -5.181226E+01, 5.147441E+00, -2.674287E+02, 1.451797E+01
-7.980000E-02, -4.136504E+01, 8.647263E-01, -5.179005E+01, 5.141193E+00, -2.673445E+02, 1.449939E+01
-7.970000E-02, -4.134593E+01, 8.632089E-01, -5.176763E+01, 5.134946E+00, -2.672597E+02, 1.448089E+01
-7.960000E-02, -4.132666E+01, 8.616888E-01, -5.174502E+01, 5.128701E+00, -2.671745E+02, 1.446245E+01
-7.950000E-02, -4.130725E+01, 8.601663E-01, -5.172221E+01, 5.122458E+00, -2.670888E+02, 1.444409E+01
-7.940000E-02, -4.128771E+01, 8.586416E-01, -5.169924E+01, 5.116218E+00, -2.670026E+02, 1.442579E+01
-7.930000E-02, -4.126805E+01, 8.571148E-01, -5.167611E+01, 5.109981E+00, -2.669159E+02, 1.440755E+01
-7.920000E-02, -4.124827E+01, 8.555864E-01, -5.165283E+01, 5.103749E+00, -2.668289E+02, 1.438938E+01
-7.910000E-02, -4.122838E+01, 8.540563E-01, -5.162940E+01, 5.097521E+00, -2.667413E+02, 1.437127E+01
-7.900000E-02, -4.120839E+01, 8.525248E-01, -5.160585E+01, 5.091299E+00, -2.666534E+02, 1.435321E+01
-7.890000E-02, -4.118830E+01, 8.509920E-01, -5.158218E+01, 5.085081E+00, -2.665651E+02, 1.433522E+01
-7.880000E-02, -4.116813E+01, 8.494582E-01, -5.155839E+01, 5.078870E+00, -2.664763E+02, 1.431727E+01
-7.870000E-02, -4.114788E+01, 8.479235E-01, -5.153450E+01, 5.072665E+00, -2.663872E+02, 1.429939E+01
-7.860000E-02, -4.112756E+01, 8.463880E-01, -5.151052E+01, 5.066466E+00, -2.662977E+02, 1.428155E+01
