Madymo Validation 03.26.2021
Explico Engineering Co. DRD
--

Time (s), /7/1 ( /Sled/SeatbackJoint_pos ) - joint /7/3 ( /Sled/Seatback_Joint ) LPFILTER - joint position degree of freedom 1, /7/1 ( /Sled/SeatbackJoint_pos ) - joint /7/3 ( /Sled/Seatback_Joint ) LPFILTER - joint position degree of freedom 2, /7/1 ( /Sled/SeatbackJoint_pos ) - joint /7/3 ( /Sled/Seatback_Joint ) LPFILTER - joint position degree of freedom 3, /7/1 ( /Sled/SeatbackJoint_pos ) - joint /7/3 ( /Sled/Seatback_Joint ) LPFILTER - joint position degree of freedom 4, /7/1 ( /Sled/SeatbackJoint_pos ) - joint /7/3 ( /Sled/Seatback_Joint ) LPFILTER - joint position degree of freedom 5, /7/1 ( /Sled/SeatbackJoint_pos ) - joint /7/3 ( /Sled/Seatback_Joint ) LPFILTER - joint position degree of freedom 6, /7/1 ( /Sled/SeatbackJoint_pos ) - joint /7/3 ( /Sled/Seatback_Joint ) LPFILTER - joint position degree of freedom 7
-9.340000E-02, -7.487613E-04, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00
-9.330000E-02, -7.490455E-04, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00
-9.320000E-02, -7.493312E-04, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00
-9.310000E-02, -7.496186E-04, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00
-9.300000E-02, -7.499078E-04, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00
-9.290000E-02, -7.501991E-04, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00
-9.280000E-02, -7.504927E-04, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00
-9.270000E-02, -7.507887E-04, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00
-9.260000E-02, -7.510873E-04, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00
-9.250000E-02, -7.513887E-04, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00
-9.240000E-02, -7.516930E-04, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00
-9.230000E-02, -7.520003E-04, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00
-9.220000E-02, -7.523109E-04, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00
-9.210000E-02, -7.526248E-04, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00
-9.200000E-02, -7.529422E-04, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00
-9.190000E-02, -7.532632E-04, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00
-9.180000E-02, -7.535879E-04, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00
-9.170000E-02, -7.539163E-04, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00
-9.160000E-02, -7.542487E-04, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00
-9.150000E-02, -7.545850E-04, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00
-9.140000E-02, -7.549252E-04, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00
-9.130000E-02, -7.552696E-04, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00
-9.120000E-02, -7.556181E-04, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00
-9.110000E-02, -7.559707E-04, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00
-9.100000E-02, -7.563275E-04, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00
-9.090000E-02, -7.566885E-04, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00
-9.080000E-02, -7.570537E-04, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00
-9.070000E-02, -7.574231E-04, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00
-9.060000E-02, -7.577967E-04, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00
-9.050000E-02, -7.581744E-04, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00
-9.040000E-02, -7.585564E-04, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00
-9.030000E-02, -7.589424E-04, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00
-9.020000E-02, -7.593326E-04, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00
