Madymo Validation 03.26.2021
Explico Engineering Co. DRD
--

Time (s), /2/1006 ( /Scaled_Hybrid_III_50th/HeadCG_acc ) CFC1000 - Res. acceleration (m/s**2), /2/1006 ( /Scaled_Hybrid_III_50th/HeadCG_acc ) CFC1000 - X-comp. acceleration (m/s**2), /2/1006 ( /Scaled_Hybrid_III_50th/HeadCG_acc ) CFC1000 - Y-comp. acceleration (m/s**2), /2/1006 ( /Scaled_Hybrid_III_50th/HeadCG_acc ) CFC1000 - Z-comp. acceleration (m/s**2), /2/6004 ( /Scaled_Hybrid_III_50th/Pelvis_acc ) CFC1000 - Res. acceleration (m/s**2), /2/6004 ( /Scaled_Hybrid_III_50th/Pelvis_acc ) CFC1000 - X-comp. acceleration (m/s**2), /2/6004 ( /Scaled_Hybrid_III_50th/Pelvis_acc ) CFC1000 - Y-comp. acceleration (m/s**2), /2/6004 ( /Scaled_Hybrid_III_50th/Pelvis_acc ) CFC1000 - Z-comp. acceleration (m/s**2)
-9.340000E-02, 6.846510E-01, -5.440279E-01, -4.101339E-01, 6.760802E-02, 8.025548E-01, -7.741236E-01, -1.015155E-01, -1.857995E-01
-9.330000E-02, 6.803931E-01, -5.378442E-01, -4.112981E-01, 6.702416E-02, 8.025467E-01, -7.741581E-01, -9.988782E-02, -1.865017E-01
-9.320000E-02, 6.761861E-01, -5.316792E-01, -4.124580E-01, 6.650705E-02, 8.025185E-01, -7.741651E-01, -9.823263E-02, -1.872289E-01
-9.310000E-02, 6.720303E-01, -5.255331E-01, -4.136137E-01, 6.605613E-02, 8.024365E-01, -7.741161E-01, -9.653855E-02, -1.879599E-01
-9.300000E-02, 6.679261E-01, -5.194059E-01, -4.147652E-01, 6.567082E-02, 8.021330E-01, -7.738571E-01, -9.481204E-02, -1.886087E-01
-9.290000E-02, 6.638738E-01, -5.132977E-01, -4.159126E-01, 6.535045E-02, 8.013679E-01, -7.731670E-01, -9.308320E-02, -1.890473E-01
-9.280000E-02, 6.598739E-01, -5.072087E-01, -4.170559E-01, 6.509431E-02, 8.000858E-01, -7.719948E-01, -9.138305E-02, -1.892363E-01
-9.270000E-02, 6.559268E-01, -5.011392E-01, -4.181952E-01, 6.490178E-02, 7.984793E-01, -7.705182E-01, -8.970889E-02, -1.892703E-01
-9.260000E-02, 6.520329E-01, -4.950894E-01, -4.193304E-01, 6.477243E-02, 7.967662E-01, -7.689377E-01, -8.803179E-02, -1.892659E-01
-9.250000E-02, 6.481927E-01, -4.890593E-01, -4.204616E-01, 6.470592E-02, 7.950276E-01, -7.673285E-01, -8.633322E-02, -1.892683E-01
-9.240000E-02, 6.444067E-01, -4.830493E-01, -4.215888E-01, 6.470196E-02, 7.932558E-01, -7.656836E-01, -8.461399E-02, -1.892718E-01
-9.230000E-02, 6.406754E-01, -4.770593E-01, -4.227120E-01, 6.476019E-02, 7.914403E-01, -7.639935E-01, -8.287937E-02, -1.892689E-01
-9.220000E-02, 6.369991E-01, -4.710895E-01, -4.238313E-01, 6.488024E-02, 7.895858E-01, -7.622623E-01, -8.113172E-02, -1.892603E-01
-9.210000E-02, 6.333783E-01, -4.651401E-01, -4.249467E-01, 6.506170E-02, 7.876961E-01, -7.604954E-01, -7.937228E-02, -1.892406E-01
-9.200000E-02, 6.298136E-01, -4.592112E-01, -4.260582E-01, 6.530418E-02, 7.857701E-01, -7.586947E-01, -7.760265E-02, -1.891956E-01
-9.190000E-02, 6.263055E-01, -4.533029E-01, -4.271659E-01, 6.560730E-02, 7.838068E-01, -7.568618E-01, -7.582459E-02, -1.891137E-01
-9.180000E-02, 6.228543E-01, -4.474153E-01, -4.282696E-01, 6.597070E-02, 7.818088E-01, -7.549996E-01, -7.403976E-02, -1.889937E-01
-9.170000E-02, 6.194607E-01, -4.415486E-01, -4.293696E-01, 6.639402E-02, 7.797803E-01, -7.531116E-01, -7.224965E-02, -1.888395E-01
-9.160000E-02, 6.161250E-01, -4.357027E-01, -4.304657E-01, 6.687686E-02, 7.777258E-01, -7.512008E-01, -7.045569E-02, -1.886553E-01
-9.150000E-02, 6.128479E-01, -4.298779E-01, -4.315579E-01, 6.741882E-02, 7.756491E-01, -7.492704E-01, -6.865926E-02, -1.884445E-01
-9.140000E-02, 6.096298E-01, -4.240742E-01, -4.326464E-01, 6.801945E-02, 7.735541E-01, -7.473235E-01, -6.686164E-02, -1.882103E-01
-9.130000E-02, 6.064712E-01, -4.182918E-01, -4.337310E-01, 6.867831E-02, 7.714448E-01, -7.453631E-01, -6.506403E-02, -1.879563E-01
-9.120000E-02, 6.033726E-01, -4.125306E-01, -4.348118E-01, 6.939491E-02, 7.693252E-01, -7.433924E-01, -6.326733E-02, -1.876868E-01
-9.110000E-02, 6.003344E-01, -4.067907E-01, -4.358888E-01, 7.016874E-02, 7.671994E-01, -7.414145E-01, -6.147250E-02, -1.874053E-01
-9.100000E-02, 5.973573E-01, -4.010723E-01, -4.369620E-01, 7.099929E-02, 7.650709E-01, -7.394331E-01, -5.968150E-02, -1.871105E-01
-9.090000E-02, 5.944416E-01, -3.953754E-01, -4.380314E-01, 7.188600E-02, 7.629424E-01, -7.374526E-01, -5.789759E-02, -1.867957E-01
-9.080000E-02, 5.915878E-01, -3.897000E-01, -4.390969E-01, 7.282835E-02, 7.608162E-01, -7.354770E-01, -5.612381E-02, -1.864540E-01
-9.070000E-02, 5.887965E-01, -3.840461E-01, -4.401586E-01, 7.382581E-02, 7.586953E-01, -7.335095E-01, -5.436165E-02, -1.860837E-01
-9.060000E-02, 5.860681E-01, -3.784139E-01, -4.412165E-01, 7.487783E-02, 7.565826E-01, -7.315529E-01, -5.261154E-02, -1.856871E-01
-9.050000E-02, 5.834031E-01, -3.728034E-01, -4.422705E-01, 7.598389E-02, 7.544810E-01, -7.296094E-01, -5.087379E-02, -1.852663E-01
-9.040000E-02, 5.808019E-01, -3.672145E-01, -4.433207E-01, 7.714339E-02, 7.523932E-01, -7.276816E-01, -4.914886E-02, -1.848226E-01
-9.030000E-02, 5.782650E-01, -3.616473E-01, -4.443670E-01, 7.835578E-02, 7.503217E-01, -7.257718E-01, -4.743723E-02, -1.843572E-01
-9.020000E-02, 5.757928E-01, -3.561018E-01, -4.454093E-01, 7.962044E-02, 7.482687E-01, -7.238820E-01, -4.573934E-02, -1.838715E-01
-9.010000E-02, 5.733859E-01, -3.505781E-01, -4.464478E-01, 8.093678E-02, 7.462363E-01, -7.220142E-01, -4.405562E-02, -1.833665E-01
-9.000000E-02, 5.710446E-01, -3.450761E-01, -4.474823E-01, 8.230416E-02, 7.442265E-01, -7.201699E-01, -4.238651E-02, -1.828436E-01
-8.990000E-02, 5.687693E-01, -3.395958E-01, -4.485129E-01, 8.372194E-02, 7.422408E-01, -7.183506E-01, -4.073245E-02, -1.823038E-01
-8.980000E-02, 5.665604E-01, -3.341372E-01, -4.495396E-01, 8.518947E-02, 7.402806E-01, -7.165575E-01, -3.909391E-02, -1.817483E-01
-8.970000E-02, 5.644184E-01, -3.287002E-01, -4.505623E-01, 8.670606E-02, 7.383472E-01, -7.147915E-01, -3.747136E-02, -1.811782E-01
-8.960000E-02, 5.623436E-01, -3.232850E-01, -4.515809E-01, 8.827101E-02, 7.364415E-01, -7.130535E-01, -3.586527E-02, -1.805947E-01
-8.950000E-02, 5.603363E-01, -3.178914E-01, -4.525956E-01, 8.988363E-02, 7.345643E-01, -7.113440E-01, -3.427616E-02, -1.799987E-01
-8.940000E-02, 5.583969E-01, -3.125193E-01, -4.536062E-01, 9.154317E-02, 7.327164E-01, -7.096637E-01, -3.270451E-02, -1.793910E-01
-8.930000E-02, 5.565257E-01, -3.071688E-01, -4.546128E-01, 9.324890E-02, 7.308985E-01, -7.080131E-01, -3.115086E-02, -1.787725E-01
-8.920000E-02, 5.547230E-01, -3.018398E-01, -4.556153E-01, 9.500006E-02, 7.291111E-01, -7.063928E-01, -2.961572E-02, -1.781436E-01
-8.910000E-02, 5.529891E-01, -2.965323E-01, -4.566137E-01, 9.679587E-02, 7.273550E-01, -7.048033E-01, -2.809963E-02, -1.775049E-01
-8.900000E-02, 5.513242E-01, -2.912461E-01, -4.576081E-01, 9.863556E-02, 7.256310E-01, -7.032456E-01, -2.660313E-02, -1.768564E-01
-8.890000E-02, 5.497286E-01, -2.859812E-01, -4.585983E-01, 1.005183E-01, 7.239399E-01, -7.017206E-01, -2.512676E-02, -1.761984E-01
-8.880000E-02, 5.482024E-01, -2.807375E-01, -4.595843E-01, 1.024434E-01, 7.222829E-01, -7.002295E-01, -2.367109E-02, -1.755306E-01
-8.870000E-02, 5.467459E-01, -2.755149E-01, -4.605662E-01, 1.044100E-01, 7.206612E-01, -6.987738E-01, -2.223665E-02, -1.748524E-01
-8.860000E-02, 5.453593E-01, -2.703134E-01, -4.615439E-01, 1.064173E-01, 7.190763E-01, -6.973553E-01, -2.082399E-02, -1.741629E-01
-8.850000E-02, 5.440425E-01, -2.651328E-01, -4.625174E-01, 1.084644E-01, 7.175299E-01, -6.959756E-01, -1.943362E-02, -1.734628E-01
-8.840000E-02, 5.427959E-01, -2.599731E-01, -4.634867E-01, 1.105507E-01, 7.160238E-01, -6.946361E-01, -1.806600E-02, -1.727554E-01
-8.830000E-02, 5.416193E-01, -2.548341E-01, -4.644517E-01, 1.126752E-01, 7.145595E-01, -6.933396E-01, -1.672160E-02, -1.720346E-01
-8.820000E-02, 5.405130E-01, -2.497157E-01, -4.654124E-01, 1.148373E-01, 7.131369E-01, -6.920931E-01, -1.540097E-02, -1.712724E-01
-8.810000E-02, 5.394769E-01, -2.446178E-01, -4.663689E-01, 1.170362E-01, 7.117589E-01, -6.908965E-01, -1.410440E-02, -1.704812E-01
-8.800000E-02, 5.385111E-01, -2.395403E-01, -4.673211E-01, 1.192713E-01, 7.104383E-01, -6.897228E-01, -1.283138E-02, -1.698248E-01
-8.790000E-02, 5.376154E-01, -2.344830E-01, -4.682689E-01, 1.215411E-01, 7.091788E-01, -6.885678E-01, -1.158196E-02, -1.693364E-01
-8.780000E-02, 5.367896E-01, -2.294457E-01, -4.692125E-01, 1.238443E-01, 7.079202E-01, -6.875963E-01, -1.036110E-02, -1.680924E-01
-8.770000E-02, 5.360343E-01, -2.244284E-01, -4.701516E-01, 1.261829E-01, 7.065651E-01, -6.871084E-01, -9.177841E-03, -1.644140E-01
-8.760000E-02, 5.353519E-01, -2.194316E-01, -4.710863E-01, 1.285657E-01, 7.051335E-01, -6.871902E-01, -8.035163E-03, -1.578552E-01
-8.750000E-02, 5.347457E-01, -2.144557E-01, -4.720166E-01, 1.310037E-01, 7.037705E-01, -6.875866E-01, -6.926069E-03, -1.498984E-01
-8.740000E-02, 5.342173E-01, -2.095010E-01, -4.729425E-01, 1.335025E-01, 7.025676E-01, -6.880396E-01, -5.843193E-03, -1.420160E-01
-8.730000E-02, 5.337674E-01, -2.045674E-01, -4.738638E-01, 1.360622E-01, 7.015263E-01, -6.885019E-01, -4.785073E-03, -1.344668E-01
-8.720000E-02, 5.333962E-01, -1.996548E-01, -4.747806E-01, 1.386822E-01, 7.006339E-01, -6.890117E-01, -3.752627E-03, -1.270301E-01
-8.710000E-02, 5.331040E-01, -1.947631E-01, -4.756929E-01, 1.413626E-01, 6.998883E-01, -6.895813E-01, -2.745959E-03, -1.196400E-01
-8.700000E-02, 5.328914E-01, -1.898924E-01, -4.766007E-01, 1.441038E-01, 6.992899E-01, -6.902066E-01, -1.764595E-03, -1.123306E-01
-8.690000E-02, 5.327590E-01, -1.850426E-01, -4.775038E-01, 1.469063E-01, 6.988387E-01, -6.908868E-01, -8.080551E-04, -1.051201E-01
-8.680000E-02, 5.327071E-01, -1.802135E-01, -4.784024E-01, 1.497702E-01, 6.985350E-01, -6.916256E-01, 1.241245E-04, -9.800608E-02
-8.670000E-02, 5.327363E-01, -1.754053E-01, -4.792963E-01, 1.526960E-01, 6.983798E-01, -6.924267E-01, 1.032489E-03, -9.098624E-02
-8.660000E-02, 5.328472E-01, -1.706177E-01, -4.801855E-01, 1.556840E-01, 6.983737E-01, -6.932935E-01, 1.917672E-03, -8.406114E-02
-8.650000E-02, 5.330400E-01, -1.658509E-01, -4.810701E-01, 1.587347E-01, 6.985174E-01, -6.942291E-01, 2.780373E-03, -7.723156E-02
-8.640000E-02, 5.333155E-01, -1.611046E-01, -4.819500E-01, 1.618484E-01, 6.988108E-01, -6.952363E-01, 3.621344E-03, -7.049781E-02
-8.630000E-02, 5.336739E-01, -1.563789E-01, -4.828252E-01, 1.650254E-01, 6.992534E-01, -6.963171E-01, 4.441385E-03, -6.386040E-02
-8.620000E-02, 5.341159E-01, -1.516736E-01, -4.836956E-01, 1.682661E-01, 6.998435E-01, -6.974725E-01, 5.241345E-03, -5.732037E-02
-8.610000E-02, 5.346418E-01, -1.469888E-01, -4.845613E-01, 1.715709E-01, 7.005781E-01, -6.987022E-01, 6.022109E-03, -5.087940E-02
-8.600000E-02, 5.352521E-01, -1.423243E-01, -4.854221E-01, 1.749399E-01, 7.014530E-01, -7.000047E-01, 6.784598E-03, -4.453979E-02
-8.590000E-02, 5.359472E-01, -1.376801E-01, -4.862782E-01, 1.783734E-01, 7.024626E-01, -7.013771E-01, 7.529753E-03, -3.830452E-02
-8.580000E-02, 5.367274E-01, -1.330561E-01, -4.871295E-01, 1.818715E-01, 7.036000E-01, -7.028153E-01, 8.258526E-03, -3.217719E-02
-8.570000E-02, 5.375932E-01, -1.284522E-01, -4.879760E-01, 1.854345E-01, 7.048571E-01, -7.043142E-01, 8.971864E-03, -2.616193E-02
-8.560000E-02, 5.385448E-01, -1.238683E-01, -4.888176E-01, 1.890622E-01, 7.062248E-01, -7.058678E-01, 9.670701E-03, -2.026324E-02
-8.550000E-02, 5.395824E-01, -1.193043E-01, -4.896543E-01, 1.927546E-01, 7.076935E-01, -7.074695E-01, 1.035594E-02, -1.448585E-02
-8.540000E-02, 5.407064E-01, -1.147602E-01, -4.904862E-01, 1.965116E-01, 7.092531E-01, -7.091123E-01, 1.102848E-02, -8.834635E-03
-8.530000E-02, 5.419169E-01, -1.102358E-01, -4.913132E-01, 2.003329E-01, 7.108930E-01, -7.107892E-01, 1.168916E-02, -3.314096E-03
-8.520000E-02, 5.432139E-01, -1.057310E-01, -4.921354E-01, 2.042182E-01, 7.126033E-01, -7.124934E-01, 1.233883E-02, 2.072814E-03
-8.510000E-02, 5.445976E-01, -1.012457E-01, -4.929527E-01, 2.081671E-01, 7.143741E-01, -7.142186E-01, 1.297829E-02, 7.324172E-03
-8.500000E-02, 5.460680E-01, -9.677984E-02, -4.937650E-01, 2.121792E-01, 7.161951E-01, -7.159579E-01, 1.360841E-02, 1.243327E-02
-8.490000E-02, 5.476250E-01, -9.233324E-02, -4.945725E-01, 2.162538E-01, 7.180556E-01, -7.177040E-01, 1.422999E-02, 1.738911E-02
-8.480000E-02, 5.492684E-01, -8.790579E-02, -4.953751E-01, 2.203903E-01, 7.199514E-01, -7.194556E-01, 1.484356E-02, 2.221106E-02
-8.470000E-02, 5.509982E-01, -8.349737E-02, -4.961728E-01, 2.245880E-01, 7.218910E-01, -7.212215E-01, 1.544963E-02, 2.697128E-02
-8.460000E-02, 5.528143E-01, -7.910786E-02, -4.969657E-01, 2.288465E-01, 7.238800E-01, -7.230067E-01, 1.604935E-02, 3.171722E-02
-8.450000E-02, 5.547165E-01, -7.473716E-02, -4.977536E-01, 2.331655E-01, 7.259043E-01, -7.247999E-01, 1.664328E-02, 3.640264E-02
-8.440000E-02, 5.567048E-01, -7.038516E-02, -4.985367E-01, 2.375444E-01, 7.279440E-01, -7.265865E-01, 1.722794E-02, 4.095923E-02
-8.430000E-02, 5.587787E-01, -6.605171E-02, -4.993149E-01, 2.419824E-01, 7.299902E-01, -7.283613E-01, 1.779816E-02, 4.537241E-02
